filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	sec16b_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_G05	22	49	1	0	0	1	0	BA007	k5	3588	11364.663	257	0	.00401316	.99598688	2.5	45	2	4	3	3583.2375	870778.81	0	0	1.203e+09	5875.8288	15308.653	3359.2551	1108272.1	0	0	1.201e+09	5864.1907	13898.104	3549.56	873799.44	0	0	1.209e+09	5905.6444	15320.344	3347.8801	1109857.2	0	0	1.203e+09	5875.3743	13912.246	11/30/2021 9:41	3583.2375	870778.81	1108272.1	1	ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-396.47022	-9870.4623	-75533.69	-1325.3575	-144.375	-5780.1084	-1.7521117	-1.5693585	-1.4716912	-.09239984	-1.6243812	-.95926887	-1.2951564	-1.0326341
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_H05	22	50	.40592317	.59407683	.82340195	.17659805		BA008	k5	4902	7930.9916	173	0	.00784475	.99215525	2.5	40	2	3	2	3955.4188	1018071.9	0	0	1.620e+09	7909.0715	18436.687	3939.1744	1398940.4	0	0	1.537e+09	7503.7523	15384.714	3928.0855	1026774.9	0	0	1.638e+09	7998.4971	18529.102	3933.708	1408839.7	0	0	1.556e+09	7597.4312	15483.281	11/30/2021 9:41	3955.4188	1018071.9	1398940.4		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-21.457052	-7449.9774	10397.536	118.75534	-228.375	-9213.7803	-.24858607	-.10785536	.03076103	0	.29647001	.07696636	-.27023139	.08911051
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_H06	22	50	.53639847	.46360153	1	0		BA015	k5	4388	20326.233	493	0	.00347683	.99652314	2.5	43	2	4	4	3857.1788	989570.31	0	0	1.442e+09	7042.1724	16938.321	3841.4962	1330153.8	0	0	1.386e+09	6768.8629	14542.922	3914.3187	996030.27	0	0	1.434e+09	7001.2628	16814.035	3837.1028	1343342.9	0	0	1.408e+09	6874.9581	14644.559	11/30/2021 9:41	3857.1788	989570.31	1330153.8		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-119.697	2288.6133	-4347.2362	-395.24466	91.625	3181.4612	-.66008006	-.53147159	-.26447874	.16997388	-.10785536	-.12333669	-.65139289	-.23958643
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1030_W_H07	22	50	.4312596	.5687404	.85830904	.14169096		BA023	k5	3166	9788.1294	174	0	.00355313	.99644691	2.5	33	2	3	3	3816.7997	987058.11	0	0	1.439e+09	7028.6542	17036.742	3705.977	1313884.3	0	0	1.358e+09	6632.3022	14354.255	3830.9248	989480.59	0	0	1.449e+09	7076.7954	17096.331	3716.2158	1318549.8	0	0	1.369e+09	6684.8686	14392.376	11/30/2021 9:41	3816.7997	987058.11	1313884.3		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-160.07615	15494.107	1595.8287	-1617.2447	-227.375	-7356.6425	-.983923	-.86597647	-.31257809	.36141209	-.23275595	-.06155119	-1.5371346	-1.1983797
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1200_W_A09	22	49			0	1		BA030	k5	7531	10360.577	284	0	.01608728	.98391277	4	81	3	3	3	4204.6117	1156362.9	1	9	1.763e+09	8609.6927	18660.72	4207.0365	1585920.4	1	12	1.667e+09	8138.7608	15658.087	4197.5284	1165335.1	1	11	1.773e+09	8655.4545	18654.854	4200.801	1589000.9	1	5	1.693e+09	8267.1411	15863.308	11/30/2021 9:41	4204.6117	1156362.9	1589000.9		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	224.904	33841.966	63376.769	2046.0269	-54.583333	-1303.4073	.88857203	1.089182	1.1768289	.67932412	1.3863365	.75899966	1.4468855	1.4904929
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1200_W_A10	22	49	.33500644	.66499356	.81803308	.18196692		BA038	k5	5751	14043.918	493	0	.00038716	.99961287	4	69	3	4	4	4127.3849	1130612.8	0	0	1.682e+09	8211.4507	18195.764	4180.0179	1557717.9	0	0	1.657e+09	8088.6386	15994.837	4287.071	1146433.7	0	0	1.722e+09	8407.2616	18374.758	4185.1697	1538696.9	0	0	1.624e+09	7928.2227	15788.032	11/30/2021 9:41	4127.3849	1130612.8	1557717.9		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	147.67713	38152.621	74576.352	266.02692	154.41667	2379.9337	.54926721	.67932412	1.0091902	.73864482	1.2081388	.86597647	.37973517	.25487898
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1200_W_A11	22	49	.41353575	.58646425	.90405817	.09594183		BA046	k5	5600	9774.0576	286	0	.00057947	.99942052	4	78	3	3	3	3951.8445	1014512.9	0	0	1.605e+09	7837.2357	18387.435	3981.8847	1409916.4	0	0	1.602e+09	7824.3911	16229.278	4182.0207	1034819.9	0	0	1.654e+09	8078.2356	18648.628	3981.8847	1404144.3	0	0	1.575e+09	7688.5326	15986.168	11/30/2021 9:41	3951.8445	1014512.9	1409916.4		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-27.863197	-9617.6606	23339.671	115.02692	-52.583333	-1889.9262	-.26447874	-.20126573	-.01537869	-.06155119	.36141209	.24858607	.25487898	.07422871
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1200_W_A12	22	49	.26959411	.73040589	.86789409	.13210591		BA054	k5	6138	14081.032	455	0	.00086098	.99913895	4	64	3	4	4	4031.6707	1080847.2	0	0	1.657e+09	8090.8113	18328.256	4036.6636	1489918.2	0	0	1.622e+09	7921.7804	15992.824	4103.0206	1088054.8	0	0	1.672e+09	8161.7955	18384.242	4036.308	1476908.6	0	0	1.589e+09	7757.7823	15779.209	11/30/2021 9:41	4031.6707	1080847.2	1489918.2		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	51.962929	25644.022	59429.106	653.02692	116.41667	2417.0487	.15439206	.21698394	.58539491	.56723851	.84381462	.69882312	.65139289	.49400624
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1200_W_B09	22	50	.11818182	.88181818	.79868238	.20131762		BA031	k5	5187	2451.7297	39	0	.05926666	.94073337	4	62	3	1	1																																		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8				-167.86025	-299.58333	-9212.2541							-.08911051	-.07422871
ABs_CD15_08dpf_vast01_plate01_sec16b_210428_1200_W_B10	22	50	.31132333	.68867667	.86023427	.13976573		BA039	k5	5240	8980.3056	277	0	.04724398	.95275599	4	75	3	3	2	3943.4276	925598.75	0	0	1.351e+09	6594.9985	16519.577	3671.3279	1241449	0	0	1.352e+09	6603.4018	14956.898	3862.1922	956612.55	0	0	1.375e+09	6716.3078	16563.135	3709.119	1242106.9	0	0	1.340e+09	6545.1901	14807.425	11/30/2021 9:41	3943.4276	925598.75	1241449		ABs	CD15	sec16b	210428	1	0	0	1	1	1	8	-33.448193	-95255.536	-140497.58	-114.86025	-61.583333	-2683.6781	-.32876769	-.23275595	-.95926887	-1.6848136	-.7086727	-1.4716912	-.02966859	-.04451105
