filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	negr1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_C07	16	33	1	0	0	1	1	AU044	k1	6248	9131.3984	236	0	.00199608	.9980039	4	108	3	1	2	4036.0709	987656.25	0	0	1.330e+09	6493.7829	15665.942	3760.3771	1333503.4	0	0	1.416e+09	6916.311	14986.781	4024.8997	1018430.8	0	0	1.345e+09	6565.8192	15646.76	3764.2523	1328060.3	0	0	1.416e+09	6914.5603	14920.848	11/30/2021 11:29	4036.0709	987656.25	1333503.4	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	44.653075	-64778.944	-58297.637	-623.8	-264.8	-6786.9617	.28848832	.28848832	-.28848832	-1.065861	-.19084294	-.79428931	.24961562	-.49557782
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_D05	16	34	0	1	.92941987	.07058013	0	AU031	k1	6674	14508.497	425	0	.00148984	.99851018	4	114	3	3	4	3856.4615	990078.74	0	0	1.316e+09	6426.2117	15782.792	3565.7298	1286250	0	0	1.370e+09	6689.1157	15061.098	3845.4063	958735.96	0	0	1.292e+09	6310.3884	15713.91	3556.723	1273748.8	0	0	1.370e+09	6691.7628	15115.711	11/30/2021 11:29	3856.4615	990078.74	1286250	1	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-134.95628	14412.555	-132.59542	-197.8	-75.8	-1409.8632	-.57163753	-.57163753	-.26034898	.34548507	-.47830599	-.10860788	.56493881	-.26206772
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_D06	16	34	1	0	.13003452	.86996548	1	AU038	k1	8989	13528.29	383	0	.00007875	.9999212	4	111	3	2	4	4080.054	1181245.7	0	0	1.857e+09	9065.301	19461.3	4090.72	1573778.1	0	0	1.780e+09	8689.4911	16972.077	4102.0875	1197575.1	0	0	1.863e+09	9095.8898	19381.457	4079.5152	1573209.8	0	0	1.775e+09	8665.1665	16952.551	11/30/2021 11:29	4080.054	1181245.7	1573778.1	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	88.636215	110011.17	156161.91	2117.2	-117.8	-2390.0704	.46316899	.46316899	1.251339	1.416064	1.416064	2.2111272	2.0211018	1.7407308
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_D07	16	34	1	0	0	1	1	AU045	k1	6440	10633.747	312	0	.00185092	.99814916	4	117	3	2	3	4162.1535	1039545.3	0	0	1.393e+09	6801.5921	15980.605	3995.7855	1359044.2	0	0	1.456e+09	7108.3118	15017.78	4050.657	1047470.7	0	0	1.391e+09	6793.2286	15919.81	3984.4076	1356890.9	0	0	1.450e+09	7078.6655	14984.789	11/30/2021 11:29	4162.1535	1039545.3	1359044.2	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	170.73569	-66780.406	-106758.77	-431.8	-188.8	-5284.6129	.73973722	.73973722	.17706229	-1.1669186	0	-1.3457648	.37625037	-.38921733
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_E06	16	33	1	0	.11299586	.88700414	1	AU039	k1	7779	23207.463	870	0	.00016147	.99983847	4	105	3	4	4	4153.6047	1095950.3	0	0	1.633e+09	7975.13	18053.574	4034.7554	1498112.8	0	0	1.668e+09	8146.2427	16503.799	4085.5223	1100795.3	0	0	1.622e+09	7921.8464	17936.834	4024.621	1498262.3	0	0	1.672e+09	8162.1391	16526.998	11/30/2021 11:29	4153.6047	1095950.3	1498112.8	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	162.18692	-6721.4447	37327.373	907.2	369.2	7289.1031	.70456485	.70456485	.60384613	.09498804	.91125285	.46316899	1.2898136	.5368863
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_F05	16	34	1	0	0	1	1	AU033	k1	4914	17715.863	411	0	.00551368	.99448627	4	119	3	4	4	3987.1726	893568.12	0	0	1.170e+09	5711.4297	14686.231	3742.3875	1204274.3	0	0	1.226e+09	5986.2171	13584.94	3801.9181	861387.94	0	0	1.134e+09	5538.3547	14511.308	3732.6092	1208640.7	0	0	1.229e+09	6003.147	13636.564	11/30/2021 11:29	3987.1726	893568.12	1204274.3	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-4.245229	-137966.86	-158826.79	-1957.8	-89.8	1797.5031	0	0	-1.5825963	-2.7818257	-1.1405576	-1.9716581	-.52301827	-1.4096135
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_G05	16	33	1	0	0	1	1	AU034	k1	4789	26000.17	706	0	.0003015	.99969852	4	124	3	4	4	3861.0769	942885.13	0	0	1.289e+09	6292.5708	15620.19	3784.7701	1277277.8	0	0	1.370e+09	6687.7249	14593.393	3791.753	943752.44	0	0	1.286e+09	6278.2332	15585.202	3768.0322	1276918.9	0	0	1.369e+09	6686.4387	14589.939	11/30/2021 11:29	3861.0769	942885.13	1277277.8	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-130.34088	-34753.771	-11813.687	-2082.8	205.2	10081.81	-.54001137	-.54001137	-.79428931	-.41837129	-.54001137	-.26034898	-.63713262	-1.5148607
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_G06	16	33	1	0	.04477028	.95522972	1	AU040	k1	4781	13817.134	511	0	.01010066	.98989934	4	115	3	3	4	3823.1296	919288.33	0	0	1.287e+09	6285.8546	15728.692	3621.6505	1214891.4	0	0	1.325e+09	6470.4893	14485.637	3856.3413	929217.53	0	0	1.315e+09	6419.2465	15922.956	3627.5996	1219885.9	0	0	1.324e+09	6466.6991	14496.654	11/30/2021 11:29	3823.1296	919288.33	1214891.4	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-168.28825	-42131.025	-51927.637	-2090.8	10.2	-2101.2258	-.83200627	-.83200627	-1.0422467	-.62018631	-1.065861	-.73973722	-.65196605	-1.5539669
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_H07	16	34	1	0	0	1	1	AU049	k1	6698	18592.342	680	0	.00009674	.9999032	4	122	3	4	4	4087.7763	1029705.8	0	0	1.392e+09	6795.5757	16072.588	3825.1004	1377855.8	0	0	1.436e+09	7014.1361	14904.84	3938.0468	1013765.3	0	0	1.364e+09	6660.9474	15907.61	3829.8473	1375941.8	0	0	1.431e+09	6986.4808	14850.53	11/30/2021 11:30	4087.7763	1029705.8	1377855.8	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	96.358503	-44829.428	-44292.786	-173.8	179.2	2673.9814	.50891642	.50891642	.08138581	-.68730287	.1633152	-.65337661	.59344315	-.23720211
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1430_W_A11	16	33	1	0	0	1	1	AU070	k1	7790	13547.882	426	0	.00024437	.99975568	6.5	193	5	2	4	4207.1894	1120235	0	0	1.652e+09	8067.1902	17870.964	3949.4069	1501671.8	0	0	1.728e+09	8437.3362	16742.445	4195.818	1126784.7	0	0	1.644e+09	8028.0873	17785.905	3943.9395	1508221.4	0	0	1.740e+09	8497.0383	16766.463	11/30/2021 11:30	4207.1894	1120235	1501671.8	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	215.77158	-5340.0439	9435.7897	100.8	-194.53333	-5707.5319	1.0191998	1.0191998	.83200627	.12224789	.93197131	.12224789	1.3180109	-.06632964
