filename	tod	date	plate	batch	tank	index	protein	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	cckar_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_G03	2.1833333	210519	1	7	14	NM270	5.769474	1	19-maj-2021 10:11:58	4648	4249.8489	0	1	.99999726	2.747e-06	1.1166667	1	1	G03	3981.7045	1105640.3	0	0	1.533e+09	7485.1913	16711.644	3827.1757	1389998.2	0	0	1.608e+09	7852.5395	16037.148	4012.6541	1202509.8	0	0	1.580e+09	7716.1244	16651.249	3835.6567	1402977.9	0	0	1.622e+09	7922.2349	16043.758	5/19/2021 12:12	3981.7045	1105640.3	1389998.2	0	1	AB	CD15	CCKAR	1	0	0	2	1	8	-58.213429	138331.88	57676.664	-215.60345	-440.67241	-453223.06	-.19555148	-.19555148	1.1742121	1.9247266	.13644074	.82239396	-.33124688	-.31109922
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_G05	2.9333333	210519	1	7	14	NM283	10.896385	1	19-maj-2021 10:56:43	5087	1355556.4	998	0	.00064084	.99935919	1.8666667	4	4	G05	3972.6658	880708.01	0	0	1.403e+09	6852.1401	17451.611	3853.1138	1283109.7	0	0	1.340e+09	6542.9277	15280.667	3851.7125	925449.22	0	0	1.419e+09	6929.9238	17279.908	3855.7829	1273868.4	0	0	1.330e+09	6495.6382	15213.984	5/19/2021 12:56	3972.6658	880708.01	1283109.7			AB	CD15	CCKAR	1	0	0	2	1	8	-67.252105	-83502.125	-44583.827	223.39655	557.32759	898083.49	-.2957227	-.2957227	-.96742157	-1.6411071	-.5741128	-.66840365	.25137174	.31109922
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_G06	3.2166667	210519	1	7	14	NM291	19.817209	1	19-maj-2021 11:13:49	6202	1587473	1480	0	.00076628	.99923372	2.15	4	4	G06	4375.6699	1201074.2	0	0	1.682e+09	8212.2202	17737.553	4100.3118	1649592.9	0	0	1.584e+09	7734.6742	15860.347	4544.8603	1221142	0	0	1.696e+09	8280.4713	17764.273	4152.0816	1620822.1	0	0	1.519e+09	7414.9978	15568.822	5/19/2021 1:13	4375.6699	1201074.2	1649592.9	0	1	AB	CD15	CCKAR	1	0	0	2	1	8	335.75199	98723.672	115555.23	1338.3966	1039.3276	1130000.1	1.3460246	1.3460246	1.9247266	1.395747	2.2692058	1.8134176	1.9313878	1.8203725
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_H01	1.6166667	210519	1	7	14	NM255	14.075069	1	19-maj-2021 09:37:37	5197	8723.0353	1	1	.57842958	.42157036	.55	1	1	H01	4153.4067	1012359.6	0	0	1.197e+09	5846.327	14650.637	3881.5183	1356741.3	0	0	1.086e+09	5302.9553	12769.021	4170.5055	1010236.2	0	0	1.182e+09	5771.3996	14551.025	3741.7801	1358565.7	0	0	1.081e+09	5277.7343	12727.746	5/19/2021 11:37	4153.4067	1012359.6	1356741.3	0	1	AB	CD15	CCKAR	1	0	0	2	1	8	113.48884	-13804.297	-63494.29	333.39655	-439.67241	-448749.88	.39896027	.39896027	.25535411	.01943245	-.01943245	-.878182	.39254375	.37195861
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_H02	1.9166667	210519	1	7	14	NM263	6.9999325	1	19-maj-2021 09:55:31	3699	3349.7765	0	1	.99967456	.00032549	.85	1	1																																		1	5	AB	CD15	CCKAR	1	0	0	2	1	8				-1164.6034	-440.67241	-454123.13							-1.6485657	-1.7281046
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_H03	2.2166667	210519	1	7	14	NM271	12.536996	1	19-maj-2021 10:13:45	4936	4787.4181	0	1	.99998999	.00001003	1.15	1	1	H03	4191.664	948118.9	0	0	1.285e+09	6273.1917	15692.658	3990.0931	1361048	0	0	1.281e+09	6252.6498	14111.231	4156.2644	953890.99	0	0	1.297e+09	6333.8302	15716.878	4031.1959	1337540.9	0	0	1.269e+09	6196.8412	14118.754	5/19/2021 12:13	4191.664	948118.9	1361048	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	151.74611	-91158.722	-78775.943	72.396552	-440.67241	-452685.49	.50664618	.50664618	-.31608501	-1.8134176	.01943245	-1.1363408	.07661315	.11506078
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_H05	2.9833333	210519	1	7	14	NM284	19.509595	1	19-maj-2021 10:59:06	5339	763888.98	1050	0	.00163301	.99836701	1.9166667	3	3	H05	4260.5072	1088742.7	0	0	1.705e+09	8325.9679	18806.439	4077.0953	1542226	0	0	1.536e+09	7499.9522	15956.749	4254.9722	1084137	0	0	1.698e+09	8290.4708	18752.311	4014.5989	1543422.2	0	0	1.546e+09	7548.0722	16098.737	5/19/2021 12:59	4260.5072	1088742.7	1542226			AB	CD15	CCKAR	1	0	0	2	1	8	220.58937	25867.193	67153.263	475.39655	609.32759	306416.07	.90712427	.90712427	.878182	.5513477	1.1742121	.96742157	.65658098	.65658098
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_H06	3.25	210519	1	7	14	NM292	19.304518	1	19-maj-2021 11:15:47	5319	1305296.8	1257	0	.00008657	.99991345	2.1833333	4	4	H06	4304.6706	1045825.8	0	0	1.394e+09	6806.2999	16021.684	3975.0289	1479450.7	0	0	1.331e+09	6500.1243	14597.773	4168.35	1057968.1	0	0	1.363e+09	6656.2184	15860.91	4090.7164	1461626	0	0	1.287e+09	6286.1235	14366.558	5/19/2021 1:15	4304.6706	1045825.8	1479450.7			AB	CD15	CCKAR	1	0	0	2	1	8	264.75268	-32187.831	-18234.279	455.39655	816.32759	847823.94	1.0651198	1.0651198	.50664618	-.4846749	.7178201	-.2957227	.58692823	.59833216
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_H07	3.5	210519	1	7	14	NM299	16.843601	1	19-maj-2021 11:30:50	5286	1509915.6	1358	0	.0006133	.99938667	2.4333333	4	4	H07	4156.5414	1060779.4	0	0	1.712e+09	8357.9027	19165.474	4219.4552	1506307.4	0	0	1.543e+09	7534.1842	16202.37	4189.0268	1075553.6	0	0	1.708e+09	8337.6782	19029.573	4216.7609	1519317	0	0	1.576e+09	7693.0462	16316.776	5/19/2021 1:30	4156.5414	1060779.4	1506307.4			AB	CD15	CCKAR	1	0	0	2	1	8	116.62354	33541	84466.737	422.39655	917.32759	1052442.7	.42009151	.42009151	.66840365	.69290035	.90712427	1.299424	.49823189	.54204681
AB_CD15_08dpf_VAST02_plate02_CCKAR_210519_A01	4.1	210519	2	7	14	NM306	13.464478	2	19-maj-2021 12:06:26	4728	287101.98	247	0	.00409607	.99590391	0	2	2	A01	3972.8577	994475.1	0	0	1.348e+09	6581.3906	16013.491	3768.5402	1341159.7	0	0	1.291e+09	6301.4634	14462.99	3971.9731	1003776.2	0	0	1.376e+09	6716.8743	16204.015	3850.1903	1364696.7	0	0	1.331e+09	6499.7259	14670.118	5/19/2021 2:06	3972.8577	994475.1	1341159.7	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	-67.060139	30199.163	13367.81	-35.5	-266.60714	-200221	-.27548228	-.27548228	.11685275	.62056827	-.11685275	.11685275	-.23167057	-.07661315
AB_CD15_08dpf_VAST02_plate02_CCKAR_210519_A02	4.3666667	210519	2	7	14	NM310	8.1630663	2	19-maj-2021 12:22:15	4295	405088.93	536	0	.0015469	.99845314	.26666667	3	2	A02	3584.435	800586.55	0	0	1.010e+09	4930.227	13906.437	3448.4751	1150202	0	0	9.987e+08	4876.4977	12907.501	3587.7668	806807.25	0	0	1.031e+09	5033.7971	14114.049	3445.7465	1158037.7	0	0	1.035e+09	5054.0016	13129.726	5/19/2021 2:22	3584.435	800586.55	1150202	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	-455.48286	-30547.129	21288.387	-468.5	22.392857	-82234.051	-1.8134176	-1.8134176	-1.8134176	-.42009151	-1.395747	.21539757	-.78046962	-.60981444
