filename	tod	date	plate	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	mc4r_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	filename9	filename10	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_G02	2.5	211116	1	3	5	1	0	0	1	0	NT803	k5	8092	12031.553	309	0	.00126062	.99873942	1	3	3	4523.215	1272133.8	0	0	1.771e+09	8648.6462	17790.472	4234.522	1657996.8	0	0	1.804e+09	8807.3651	16480.869	4540.2516	1284306	0	0	1.773e+09	8657.9211	17763.141	4223.9147	1664606.3	0	0	1.827e+09	8921.1451	16636.514	11/30/2021 9:24	4523.215	1272133.8	1657996.8	1	ABs	CD15	mc4r	W	G02	1	0	0	1	1	8	474.84114	22766.795	-26156.62	2670.3043	107.86957	4637.3259	2.6948395	2.6948395	1.9660246	.48629142	1.8565143	-.37015419	1.7163789	1.8837216
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_G03	2.5	211116	1	3	5	.92383943	.07616057	0	1	0	NT811	k5	6682	12555.868	327	0	.00106929	.99893075	1	4	3	4087.1032	1137880.2	1	7	1.661e+09	8109.9973	17755.235	4063.6493	1570907	0	0	1.785e+09	8716.2163	16741.17	4108.2981	1156572.3	1	3	1.696e+09	8282.8594	17915.17	4085.5991	1557957.2	0	0	1.762e+09	8605.9213	16644.589	11/30/2021 9:24	4087.1032	1137880.2	1570907	1	ABs	CD15	mc4r	W	G03	1	0	0	1	1	8	38.729301	65630.21	128229.4	1260.3043	125.86957	5161.6409	.1684908	.1684908	.69681993	1.2310348	.94419419	1.4470343	.83454576	.98524588
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_H02	2.5	211116	1	3	6	.08369748	.91630252	1	0	1	NT804	k5	3435	8328.0367	208	0	.03359814	.96640188	1	2	2	3901.6149	926226.81	0	0	1.297e+09	6333.8439	15760.48	3681.5087	1220573.7	0	0	1.324e+09	6465.7143	14282.321	3865.153	923834.23	0	0	1.289e+09	6295.9737	15653.896	3675.6876	1210225.8	0	0	1.313e+09	6413.5339	14217.473	11/30/2021 9:24	3901.6149	926226.81	1220573.7	4	ABs	CD15	mc4r	W	H02	1	0	0	1	1	8	-146.75895	-70691.374	-119398.7	-1986.6957	6.8695652	933.80963	-.89042181	-.89042181	-1.269605	-1.3101626	-1.269605	-1.499273	-1.7163789	-1.5307637
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_H03	2.5	211116	1	3	6	1	0	0	1	0	NT812	k5	5636	12555.784	406	0	.00551201	.99448806	1	4	3	4178.1035	1146224.4	0	0	1.653e+09	8072.1346	17591.794	3998.4978	1531100.5	0	0	1.726e+09	8429.6152	16588.765	4330.7701	1178883.1	0	0	1.712e+09	8358.1168	17867.401	4014.7926	1516416	0	0	1.709e+09	8347.0701	16529.804	11/30/2021 9:24	4178.1035	1146224.4	1531100.5	1	ABs	CD15	mc4r	W	H03	1	0	0	1	1	8	129.72967	37016.586	38035.82	214.30435	204.86957	5161.5565	.69681993	.69681993	.76602408	.67448975	.67448975	.50625727	-.06644962	.09976638
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1230_W_A05	4.5	211116	1	3	5	.03771983	.96228017	.91844669	.08155331	1	NT818	k5	6350	7862.4189	212	0	.06855285	.93144709	3	2	2	3965.5829	979252.32	0	0	1.435e+09	7007.72	16834.979	3730.846	1271356.2	0	0	1.466e+09	7157.0332	15426.061	4044.3061	980269.17	0	0	1.435e+09	7005.4775	16821.569	3719.9119	1276889	0	0	1.470e+09	7175.497	15439.628	11/30/2021 9:24	3965.5829	979252.32	1271356.2	4	ABs	CD15	mc4r	W	A05	1	0	0	1	1	8	-82.790952	-43645.017	-104035.42	344.24242	-30.30303	-1376.503	-.6308035	-.6308035	-.60940878	-.65249095	-1.0304114	-1.2310348	.55900407	.26880536
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1230_W_A06	4.5	211116	1	3	5			1	0		NT826	k5	6582	10958.859	314	0	.01238026	.98761976	3	3	3	4155.4476	1088772.6	1	2	1.654e+09	8078.5992	18183.475	4129.5183	1490875.2	0	0	1.735e+09	8469.5623	16776.423	4168.9239	1108451.5	1	9	1.673e+09	8171.2285	18202.859	4135.3008	1486209.7	0	0	1.716e+09	8378.2429	16641.778	11/30/2021 9:24	4155.4476	1088772.6	1490875.2		ABs	CD15	mc4r	W	A06	1	0	0	1	1	8	107.07374	-11234.004	10355.225	576.24242	71.69697	1719.937	.52642702	.52642702	.35131491	-.09724075	.40823849	.15061213	.72215583	.46436801
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1230_W_A08	4.5	211116	1	3	5	.08838211	.91161789	.94149193	.05850807	1	NT842	k5	6436	12191.155	254	0	.04486993	.9551301	3	4	3	4043.0377	1104025.3	0	0	1.567e+09	7650.3138	17123.163	3889.3925	1489170.5	0	0	1.664e+09	8124.2751	16173.747	4235.0199	1133633.4	0	0	1.602e+09	7821.876	17244.452	3981.434	1495331.4	0	0	1.659e+09	8101.2454	16126.027	11/30/2021 9:24	4043.0377	1104025.3	1489170.5	4	ABs	CD15	mc4r	W	A08	1	0	0	1	1	8	-5.3361921	49671.433	70892.083	430.24242	11.69697	2952.2333	-.09724075	-.09724075	.43719239	.97212993	.37015419	.94419419	.63845305	.30339428
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1230_W_A09	4.5	211116	1	3	5	0	1	.94552242	.05447758	1	NT850	k5	2975	761.87557	0	1	.99946171	.00053833	3	1	1	3341.7687	774028.93	0	0	1.049e+09	5121.5019	14170.042	3337.0848	1007544.6	0	0	1.086e+09	5302.2133	13123.601	3363.4991	762484.74	0	0	1.037e+09	5064.7208	14100.062	3342.6993	999499.51	0	0	1.084e+09	5294.4711	13176.795	11/30/2021 9:24	3341.7687	774028.93	1007544.6	4	ABs	CD15	mc4r	W	A09	1	0	0	1	1	8	-706.60513	4479.6107	-22440.097	-3030.7576	-242.30303	-8477.0464	-2.6948395	-2.6948395	-2.6948395	.1684908	-2.6948395	-.31399988	-1.8837216	-2.1307156
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1230_W_B05	4.5	211116	1	3	6			0	1		NT819	k5	4628	10810.615	337	0	.00144689	.9985531	3	3	3	4098.3748	941120.61	0	0	1.314e+09	6413.9933	15819.261	3812.7229	1239624.6	0	0	1.358e+09	6630.7857	14693.508	4076.512	945786.13	0	0	1.307e+09	6381.9353	15723.044	3818.4565	1249194.9	0	0	1.374e+09	6709.0463	14758.877	11/30/2021 9:24	4098.3748	941120.61	1239624.6		ABs	CD15	mc4r	W	B05	1	0	0	1	1	8	50.000945	-135707.16	-209294.08	-1377.7576	94.69697	1571.6928	.2224756	.2224756	-1.0924215	-2.6948395	-1.1589443	-2.3057115	-.72215583	-1.1624983
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1230_W_B06	4.5	211116	1	3	6	.02470564	.97529436	1	0	1	NT827	k5	7715	12981.944	341	0	.0289511	.97104889	3	4	3	4071.4284	1106627.2	1	10	1.595e+09	7787.7075	17413.968	4091.4474	1506127.9	1	2	1.659e+09	8098.8747	16112.477	4098.7542	1124332.3	1	10	1.608e+09	7851.77	17409.914	4103.0206	1501043.7	1	4	1.644e+09	8028.5169	16010.481	11/30/2021 9:24	4071.4284	1106627.2	1506127.9	4	ABs	CD15	mc4r	W	B06	1	0	0	1	1	8	23.054507	40743.122	72129.502	1709.2424	98.69697	3743.0221	.04414511	.04414511	.48629142	.78991491	.44692449	.97212993	1.3866028	1.2304115
