filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	irs1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_irs1_210701_1100_W_B09	13	27	.02737129	.97262871	1	0	1	AX034	k5	4384	9544.7102	315	0	.00110601	.99889404	3	59	3	2	3	3555.2974	851997.07	0	0	1.158e+09	5652.0787	14873.311	3456.4058	1152175.9	0	0	1.200e+09	5860.799	13890.909	3460.6775	832916.26	0	0	1.131e+09	5520.506	14736.016	3458.1575	1154807.7	0	0	1.204e+09	5876.846	13907.299	11/30/2021 11:22	3555.2974	851997.07	1152175.9	5	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-461.25933	12024.528	27343.742	-679.36487	63.666667	-940.32905	-1.768825	-1.768825	-1.768825	.19402814	-1.1983797	.53920764	-.70764351	-.77642176
ABs_CD15_08dpf_vast01_plate01_irs1_210701_1100_W_D09	13	27	1	0	0	1	0	AX036	k5	6050	9118.4743	266	0	.00065016	.99934989	3	68	3	2	2	3795.8798	916536.87	0	0	1.236e+09	6036.2024	15347.254	3632.3041	1240192.9	0	0	1.338e+09	6532.4837	14925.449	3661.5721	917194.82	0	0	1.233e+09	6018.9799	15323.463	3658.6305	1228140.3	0	0	1.323e+09	6462.3313	14842.67	11/30/2021 11:22	3795.8798	916536.87	1240192.9	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-220.67693	-24570	-13715.874	986.63513	14.666667	-1366.5649	-1.0757227	-1.0757227	-1.1983797	-.19402814	-.69480185	-.2599896	.34623426	.84908619
ABs_CD15_08dpf_vast01_plate01_irs1_210701_1100_W_H11	13	27	0	1	1	0	1	AX055	k5	5345	10392.061	216	0	.00851192	.9914881	3	52	3	2	3	3901.247	1020404.7	0	0	1.365e+09	6667.4145	15766.174	3889.6693	1377676.4	0	0	1.478e+09	7215.4466	15037.407	3939.5085	1025189.8	0	0	1.374e+09	6709.3575	15859.105	3868.2777	1386439.2	0	0	1.504e+09	7342.5333	15211.962	11/30/2021 11:23	3901.247	1020404.7	1377676.4	5	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-115.3098	35004.311	67236.373	281.63513	-35.333333	-92.978468	-.32710332	-.32710332	-.2599896	.53920764	-.19402814	1.0757227	-.13092665	.29128503
ABs_CD15_08dpf_vast01_plate01_irs1_210715_1000_W_A08	14	28	.01798494	.98201506	.98096102	.01903898	0	AX057	k1	6982	18320.086	605	0	.00073601	.99926394	2	33	2	4	4	4495.4389	1501163.3	0	0	1.980e+09	9667.7323	18550.962	4251.7834	1661077.3	0	0	1.950e+09	9521.4049	17869.87	4451.2064	1500924.1	0	0	1.978e+09	9658.8708	18533.22	4219.8131	1661944.6	0	0	1.948e+09	9512.7439	17842.644	11/30/2021 11:23	4495.4389	1501163.3	1661077.3	1	ABs	CD15	irs1	210715	1	0	0	1	1	1	8	478.88216	171985.66	12408.774	1317.4615	130	2834.7281	1.768825	1.768825	2.2316058	1.521218	2.2316058	.12890111	1.1011455	1.1011455
ABs_CD15_08dpf_vast01_plate01_irs1_210715_1000_W_A09	14	28	.94507086	.05492914	0	1	1	AX063	k1	7376	20005.121	666	0	.00014164	.99985838	2	40	2	4	4																																	5	ABs	CD15	irs1	210715	1	0	0	1	1	1	8				1711.4615	191	4519.7636							1.4544076	1.6249807
ABs_CD15_08dpf_vast01_plate01_irs1_210715_1000_W_A10	14	28	1	0	.05507795	.94492205	1	AX068	k1	5347	6796.0737	156	0	.01763337	.98236656	2	45	2	2	2	3604.2423	833095.7	0	0	1.219e+09	5951.6178	15649.111	3413.9195	1102589.7	0	0	1.221e+09	5963.3257	14086.062	3412.6577	805850.22	0	0	1.188e+09	5801.8414	15571.89	3414.8173	1085991.2	0	0	1.196e+09	5837.6423	13926.526	11/30/2021 11:23	3604.2423	833095.7	1102589.7	5	ABs	CD15	irs1	210715	1	0	0	1	1	1	8	-412.31442	-121447.07	-67936.52	-317.53846	-319	-8689.2841	-1.3423357	-1.3423357	-2.2316058	-1.3423357	-1.768825	-.96742157	-.07841241	-.29128503
ABs_CD15_08dpf_vast01_plate01_irs1_210715_1000_W_C08	14	28	.02125685	.97874315	1	0	0	AX058	k1	6385	12847.262	422	0	.00014861	.99985135	2	35	2	3	3																																	1	ABs	CD15	irs1	210715	1	0	0	1	1	1	8				720.46154	-53	-2638.0954							.64206138	.51841799
ABs_CD15_08dpf_vast01_plate01_irs1_210715_1000_W_D08	14	28	.04065798	.95934202	.9910573	.0089427	0	AX059	k1	3584	3982.4204	92	0	.02709306	.97290695	2	42	2	1	1	3827.4453	923206.18	0	0	1.346e+09	6569.9106	16337.045	3557.7529	1128280	0	0	1.282e+09	6260.8452	14699.915	3814.5776	931041.87	0	0	1.344e+09	6564.9215	16292.413	3533.4601	1134022.2	0	0	1.296e+09	6328.7514	14800.398	11/30/2021 11:23	3827.4453	923206.18	1128280	1	ABs	CD15	irs1	210715	1	0	0	1	1	1	8	-189.1115	-125165.06	-161998.41	-2080.5385	-383	-11502.937	-.77913968	-.77913968	-.69480185	-1.521218	-1.521218	-2.2316058	-1.6249807	-1.8627319
ABs_CD15_08dpf_vast01_plate01_irs1_210715_1000_W_E08	14	28	.93565798	.06434202	.1507791	.8492209	1	AX060	k1	5640	14688.6	521	0	.00413892	.99586111	2	39	2	3	4	3797.3962	1041638.8	1	11	1.529e+09	7466.5619	17435.729	3813.2877	1380218.5	0	0	1.529e+09	7463.459	15658.896	3853.0439	1049384.8	1	9	1.529e+09	7467.5492	17375.24	3884.5105	1394424.4	0	0	1.548e+09	7556.5677	15719.319	11/30/2021 11:23	3853.0439	1049384.8	1380218.5	5	ABs	CD15	irs1	210715	1	0	0	1	1	1	8	-163.51285	-9747.4497	76205.953	-24.538462	46	-796.75786	-.53920764	-.53920764	-.12890111	0	-.12890111	1.1983797	.02611368	-.02611368
ABs_CD15_08dpf_vast01_plate01_irs1_210715_1000_W_E09	14	28	1	0	0	1	1	AX064	k1	3832	22569.009	518	0	.00267744	.99732262	2	36	2	4	4	3803.0468	921770.63	0	0	1.322e+09	6456.5141	16000.882	3765.1857	1241778	0	0	1.356e+09	6619.6332	14579.777	3766.0752	927183.84	0	0	1.312e+09	6404.4308	15862.345	3749.6846	1252245.5	0	0	1.375e+09	6713.0929	14661.756	11/30/2021 11:23	3803.0468	921770.63	1241778	5	ABs	CD15	irs1	210715	1	0	0	1	1	1	8	-213.50999	-116344.14	-35410.278	-1832.5385	43	7083.6516	-.86942377	-.86942377	-.77913968	-1.1983797	-.6151411	-.53920764	-1.2025083	-1.4544076
