filename	tod	date	plate	batch	tank	index	protein	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	lep_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G02	2.0166667	210902	1	5	12	NR430		1	02-sep-2021 10:01:01	4995	11647.182	1	1	.99999475	5.273e-06	.73333333	1	1	G02	3483.7011	940971.07	0	0	1.394e+09	6807.4927	16649.11	3481.0301	1244828.5	0	0	1.375e+09	6713.454	15076.517	3519.2798	947640.38	0	0	1.398e+09	6825.786	16615.072	3484.435	1235916.1	0	0	1.364e+09	6662.3805	15042.337	9/2/2021 12:01	3483.7011	940971.07	1244828.5			AB	CD15	LEP	1	0	0	2	1	8	-531.98708	125925.26	105947.25	11.612903	-393.70968	-637496.73	-2.5468644	-2.5468644	-.37653158	1.7738561	-.87709547	1.6554853	-.13231285	.10573895
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G03	2.2833333	210902	1	5	11	NR438	25.86184	1	02-sep-2021 10:17:46	5398	1299433.9	894	0	.00003983	.99996018	1	3	4	G03	4965.7003	1431270.1	0	0	2.229e+09	10882.202	20740.769	4372.6204	1787584.8	0	0	2.084e+09	10175.247	19070.611	4748.1349	1436414.2	0	0	2.201e+09	10749.166	20546.93	4468.0892	1825567	0	0	2.123e+09	10364.221	19197.247	9/2/2021 12:17	4965.7003	1431270.1	1787584.8	0	1	AB	CD15	LEP	1	0	0	2	1	8	950.01214	87666.28	-16155.973	414.6129	499.29032	650290.04	2.5468644	2.5468644	2.1368684	1.2631877	2.5468644	-.2617966	.52440051	.68279428
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G04	2.6166667	210902	1	5	10	NR445		1	02-sep-2021 10:37:31	6432	1160039.3	1140	0	.00070262	.99929738	1.3333333	3	3	G04	4670.94	1426455.1	0	0	2.134e+09	10419.462	19924.164	4162.2936	1699777.2	0	0	2.054e+09	10027.54	18818.173	4592.0472	1467428	0	0	2.112e+09	10313.692	19616.481	4194.9626	1741079.1	0	0	2.089e+09	10199.92	18871.644	9/2/2021 12:37	4670.94	1426455.1	1699777.2	0	1	AB	CD15	LEP	1	0	0	2	1	8	655.25188	187978.07	28272.77	1448.6129	745.29032	510895.42	1.7738561	1.7738561	1.9240539	1.9240539	1.5566011	.37653158	1.4121876	1.4121876
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G05	3.8	210902	1	5	10	NR451	12.472647	2	02-sep-2021 11:48:03	5231	1336813.3	1392	0	.00031451	.99968553	0	3	4	G05	4009.709	1034371.3	0	0	1.509e+09	7366.9151	17385.198	3973.7008	1444758.3	0	0	1.476e+09	7207.9261	16003.529	4134.668	1044390.3	0	0	1.514e+09	7390.4852	17373.598	3866.5455	1447958.4	0	0	1.479e+09	7223.4602	15956.199	9/2/2021 1:48	4009.709	1034371.3	1444758.3	0	1	AB	CD15	LEP	1	0	0	2	1	8	-5.979163	31723.731	69897.584	131.12903	480.54839	198598.76	.15041807	.15041807	.55910955	.59125761	.69169254	1.1503494	.35003052	.32211124
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G06	4.1166667	210902	1	5	12	NR459	12.57408	2	02-sep-2021 12:07:21	4311	125215.15	150	0	.00066619	.9993338	.31666667	1	2	G06	3823.5363	866771.24	0	0	1.355e+09	6613.7848	17094.443	3621.1302	1198562	0	0	1.306e+09	6376.2663	15024.318	3655.6825	859713.13	0	0	1.332e+09	6502.0094	16936.104	3576.7674	1196019.9	0	0	1.295e+09	6323.4945	14894.217	9/2/2021 2:07	3823.5363	866771.24	1198562	1	5	AB	CD15	LEP	1	0	0	2	1	8	-192.15183	-69477.504	-92777.284	-788.87097	-761.45161	-1012999.4	-.67448975	-.67448975	-1.5566011	-1.0505218	-1.3949084	-1.2631877	-1.0709086	-.98156177
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G07	4.3833333	210902	1	5	11	NR467	19.268677	2	02-sep-2021 12:23:24	5815	2066515.3	1808	0	.00101938	.99898058	.58333333	4	4	G07	3895.1361	972732.54	0	0	1.453e+09	7093.2807	17326.113	3710.7514	1363978.9	0	0	1.439e+09	7024.5328	15926.965	3916.3734	982811.28	0	0	1.457e+09	7113.3719	17324.946	3713.6074	1380188.6	0	0	1.458e+09	7119.2887	15986.483	9/2/2021 2:23	3895.1361	972732.54	1363978.9	0	1	AB	CD15	LEP	1	0	0	2	1	8	-120.552	10947.574	40518.224	715.12903	896.54839	928300.79	-.20578799	-.20578799	-.12291562	.29010079	-.0136234	.55910955	1.025212	1.025212
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G08	4.6166667	210902	1	5	11	NR475	17.240011	2	02-sep-2021 12:37:51	4351	1063106.6	789	0	.00161179	.99838829	.81666667	3	3	G08	3817.3285	1024202.9	0	0	1.558e+09	7606.6375	17934.691	3829.5505	1308859.9	0	0	1.578e+09	7706.6217	17002.986	3817.6811	1059014.9	0	0	1.558e+09	7605.8955	17819.789	3839.0781	1314273.1	0	0	1.551e+09	7574.0802	16766.499	9/2/2021 2:37	3817.3285	1024202.9	1308859.9	1	5	AB	CD15	LEP	1	0	0	2	1	8	-198.35962	90168.157	20305.526	-748.87097	-122.45161	-75107.936	-.7626835	-.7626835	.46587588	1.3261724	-.37653158	.20578799	-.87983746	-.78649261
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G09	5.05	210902	1	5	10	NR483	27.079039	2	02-sep-2021 13:03:59	5796	969506.75	1098	0	.00043974	.9995603	1.25	2	3	G09	4827.0107	1354169.3	0	0	1.952e+09	9529.868	18960.611	4413.9453	1731209.7	0	0	1.941e+09	9475.9133	18107.73	4818.2791	1349055.2	0	0	1.943e+09	9489.3245	18938.62	4461.8733	1772182.6	0	0	1.969e+09	9613.952	18111.562	9/2/2021 3:04	4827.0107	1354169.3	1731209.7	1	5	AB	CD15	LEP	1	0	0	2	1	8	811.32256	60029.373	-10311.701	696.12903	186.54839	-168707.77	2.1368684	2.1368684	1.7738561	.87709547	1.7738561	-.15041807	.98156177	.93970593
AB_CD15_08dpf_VAST02_plate01_LEP_210902_H01	1.6833333	210902	1	5	11	NR423	21.601642	1	02-sep-2021 09:41:20	4893	225654.7	171	0	.00321332	.99678671	.4	1	2	H01	3753.6705	884416.5	0	0	1.326e+09	6472.1864	16680.118	3791.0115	1308411.3	0	0	1.346e+09	6572.0971	14872.764	3886.6926	900237.43	0	0	1.376e+09	6717.0038	16923.646	3790.1633	1295132.4	0	0	1.335e+09	6516.8911	14879.588	9/2/2021 11:41	3753.6705	884416.5	1308411.3	1	5	AB	CD15	LEP	1	0	0	2	1	8	-262.01766	-26914.45	48415.406	-90.387097	-223.70968	-423489.21	-1.3261724	-1.3261724	-1.0990663	-.20578799	-.40594555	.72673011	-.26699413	-.10573895
AB_CD15_08dpf_VAST02_plate01_LEP_210902_H02	2.05	210902	1	5	10	NR431	19.471543	1	02-sep-2021 10:03:25	5084	1957800.2	750	0	.00274965	.99725038	.76666667	4	4	H02	4042.161	921052.86	0	0	1.352e+09	6599.7013	16493.171	3837.8392	1355006.7	0	0	1.418e+09	6923.0421	14957.683	3896.1495	913725.59	0	0	1.361e+09	6646.9249	16625.108	3844.7218	1339604.5	0	0	1.406e+09	6864.8503	14951.997	9/2/2021 12:03	4042.161	921052.86	1355006.7	1	5	AB	CD15	LEP	1	0	0	2	1	8	26.472856	-93168.83	-34412.739	100.6129	355.29032	1308656.2	.29010079	.29010079	-.62402876	-1.5566011	-.06816766	-.6574843	.07923953	.29444085
