filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	pcsk1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_A02	19	43	1	0	0	1	1	AV029	k1	4666	1753.7265	0	1	.99986899	.00013101	2.5	62	7	1	1	3984.4076	890966.19	0	0	1.506e+09	7352.2016	18373.596	3828.2227	1149992.7	0	0	1.474e+09	7197.6913	16379.524	3836.2297	895990.6	0	0	1.534e+09	7492.1714	18558.635	3817.5792	1163151.9	0	0	1.486e+09	7257.9138	16358.433	11/30/2021 11:38	3984.4076	890966.19	1149992.7	5	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	-151.63587	-125394.63	-182533.29	-658.26316	-64.789474	-2109.0475	.08215456	-.72209171	-1.2917938	-2.3685671	-1.6391094	-2.1732447	-1.0798258	-.4790991
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_A03	19	43	1	0	0	1	1	AV037	k1	5610	4957.0599	107	0	.44864565	.55135441	2.5	64	7	1	2	4307.6882	1116018.1	0	0	1.513e+09	7387.1595	16534.565	4031.1959	1451696.8	0	0	1.513e+09	7386.8582	15003.227	4253.2849	1097176.5	0	0	1.486e+09	7255.893	16409.695	4025.8358	1440391.8	0	0	1.486e+09	7254.8795	14884.619	11/30/2021 11:38	4307.6882	1116018.1	1451696.8	5	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	171.64482	-25773.771	-45879.388	285.73684	42.210526	1094.286	1.3269543	.90948298	.90948298	-.45541664	.6651534	-.72209171	-.27903263	.32226394
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_B01	19	43	1	0	0	1	1	AV022	k1	3873	4621.7026	104	0	.03193309	.96806693	2.5	37	7	1	2	3937.5949	949913.33	0	0	1.349e+09	6585.5667	16057.464	3725.1221	1214771.7	0	0	1.400e+09	6834.1295	15223.322	3856.2289	987506.71	0	0	1.376e+09	6717.9974	16099.896	3716.2158	1235288.1	0	0	1.413e+09	6900.2813	15208.242	11/30/2021 11:38	3937.5949	949913.33	1214771.7	5	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	-198.44848	-48284.472	-93854.168	-1451.2632	39.210526	758.9286	-.26414698	-.93228264	-.57472664	-.93228264	-.97940288	-1.2581616	-1.6776953	-1.2126211
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_B02	19	43	.89733444	.10266556	.5483871	.4516129		AV030	k1	4487	5063.111	113	0	.12614065	.87385941	2.5	55	7	1	2	4196.5842	1038139.6	0	0	1.754e+09	8563.6234	19566.613	4017.4139	1387695.3	0	0	1.755e+09	8568.3959	17545.45	4231.1942	1059882.2	0	0	1.829e+09	8929.7302	20074.271	4013.6974	1402798.5	0	0	1.764e+09	8614.7143	17490.329	11/30/2021 11:38	4196.5842	1038139.6	1387695.3		ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	60.540778	-60544.472	-53156.946	-837.26316	48.210526	1200.337	1.0288048	.37409541	.295179	-1.13601	.31080038	-.84374928	-1.1843773	-.72731507
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_B03	19	43	.10223194	.89776806	1	0	0	AV038	k1	6922	6902.5314	130	0	.04932036	.95067966	2.5	50	7	2	2	4412.207	1153641.4	0	0	1.740e+09	8496.4356	18481.324	4142.6747	1495899.7	0	0	1.706e+09	8330.8512	16469.74	4224.8527	1124870.6	0	0	1.675e+09	8180.9503	18144.708	4136.1252	1484116.2	0	0	1.687e+09	8239.6551	16432.797	11/30/2021 11:38	4412.207	1153641.4	1495899.7	1	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	276.1636	-28703.156	-55038.326	1597.7368	65.210526	3039.7575	1.6991777	1.2917938	1.1649293	-.52268931	1.0808544	-.90948298	.41816816	1.1843773
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_C01	19	43	0	1	.87772397	.12227603		AV023	k1	4928	1354.5356	0	1	.99999976	1.901e-07	2.5	88	7	1	1	4151.2171	1044988.4	0	0	1.642e+09	8016.6646	18456.705	3972.3044	1378125	0	0	1.626e+09	7938.4812	16288.252	4073.7783	1036165.8	0	0	1.617e+09	7896.1646	18303.99	3971.5326	1360569.5	0	0	1.599e+09	7806.6644	16176.694	11/30/2021 11:38	4151.2171	1044988.4	1378125		ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	15.173717	-36093.563	-39565.212	-396.26316	-64.789474	-2508.2384	.82263729	.14222186	.39014602	-.64665208	.23336732	-.64665208	-.78225295	-.2151244
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_C02	19	43	0	1	1	0	0	AV031	k1	10085	9516.1923	96	0	.07517771	.92482227	2.5	93	7	3	3	4507.2089	1287057.5	0	0	1.973e+09	9635.1215	19468.66	4257.6423	1656411.7	0	0	1.931e+09	9429.3111	17426.173	4475.5262	1269472	0	0	1.915e+09	9349.2127	19152.108	4217.6864	1635715.9	0	0	1.897e+09	9262.4492	17320.145	11/30/2021 11:38	4507.2089	1287057.5	1656411.7	1	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	371.1655	67852.801	56970.761	4760.7368	31.210526	5653.4184	1.9302859	1.5844329	1.8419929	1.2258953	1.9302859	.84374928	2.39803	2.7765153
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_C03	19	43	1	0	0	1	1	AV039	k1	4426	1027.9215	0	1	.99999964	3.916e-07	2.5	72	7	1	1	4375.123	1207893.1	0	0	1.679e+09	8196.528	17383.591	4067.5333	1531339.7	0	0	1.636e+09	7989.2795	15649.499	4221.5243	1172482.9	0	0	1.617e+09	7897.2678	17149.392	4088.6725	1526734	0	0	1.615e+09	7886.7727	15548.191	11/30/2021 11:38	4375.123	1207893.1	1531339.7	5	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	239.07962	39936.919	-665.12544	-898.26316	-64.789474	-2834.8524	1.4874168	1.1649293	1.5341205	.86524422	1.4026733	-.05224518	-1.2418668	-.78225295
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_D01	19	43	1	0	.23117745	.76882255	1	AV024	k1	3494	1085.8444	1	0	.16513568	.83486432	2.5	42	7	1	1	3683.8841	874696.66	0	0	1.290e+09	6300.6242	16249.214	3491.7401	1117573.2	0	0	1.260e+09	6152.3494	14343.125	3645.6387	863481.45	0	0	1.275e+09	6226.1288	16206.342	3503.348	1116377	0	0	1.255e+09	6125.6229	14300.208	11/30/2021 11:38	3683.8841	874696.66	1117573.2	5	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	-452.15931	-25062.831	-61521.186	-1830.2632	-63.789474	-2776.9295	-1.4874168	-2.1732447	-1.5844329	-.42255626	-1.8419929	-.97940288	-1.8775733	-1.574445
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_D02	19	43	1	0	.22967903	.77032097	1	AV032	k1	5610	1406.8686	0	1	.64643276	.35356724	2.5	76	7	1	1	3752.7143	1195391.8	0	0	1.754e+09	8563.5524	18047.667	3531.6822	1456810.9	0	0	1.776e+09	8671.2327	16579.995	3794.9539	1187077.6	0	0	1.742e+09	8507.2881	17978.255	3513.8155	1476340.3	0	0	1.796e+09	8771.37	16608.576	11/30/2021 11:38	3752.7143	1195391.8	1456810.9	5	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	-383.32916	268926.66	242575.41	285.73684	-64.789474	-2455.9054	-1.0544725	-1.9302859	1.4437492	2.3685671	.74159404	2.7503931	-.27903263	.32226394
